Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S15,SB,Medium A,2531,34,20,16,45,16,73,149,193,211,230,178,187,186,171,172,152,139,97,96,58,23,34,15,36
S15,SB,Medium B,695,0,0,0,0,0,19,54,51,60,70,64,50,52,47,52,41,33,33,49,17,3,0,0,0
S15,SB,Heavy A,7395,225,219,186,199,246,273,326,334,445,449,420,438,398,373,400,358,306,363,374,320,195,161,177,210
S15,SB,Heavy B,228,1,1,1,1,1,19,15,16,18,25,17,16,17,8,7,18,14,5,13,12,3,0,0,0
S15,NB,Lights,75546,780,545,448,571,575,1475,2968,3373,3412,3450,3835,3954,4408,4880,5177,6133,6198,6006,4579,3898,2938,2422,1966,1555
S15,NB,Medium A,2482,35,28,20,35,51,82,105,161,165,221,187,167,159,181,159,142,180,124,92,60,32,38,31,27
S15,NB,Medium B,708,0,0,0,0,0,12,51,49,45,56,52,70,55,73,66,57,58,28,24,10,2,0,0,0
S15,NB,Heavy A,7484,234,202,226,213,238,257,328,379,441,426,467,475,424,413,374,325,301,272,246,269,309,255,245,165
S15,NB,Heavy B,236,0,0,0,10,1,18,14,18,15,17,22,16,12,1,21,21,14,14,5,13,4,0,0,0
S16,SB,Lights,71670,486,344,412,610,1491,4005,4831,4439,3817,3646,3684,3484,3649,3895,4183,4612,4523,4476,4438,3072,2478,2129,1732,1234
S16,SB,Medium A,2531,34,20,16,45,16,73,149,193,211,230,178,187,186,171,172,152,139,97,96,58,23,34,15,36
S16,SB,Medium B,695,0,0,0,0,0,19,54,51,60,70,64,50,52,47,52,41,33,33,49,17,3,0,0,0
S16,SB,Heavy A,7395,225,219,186,199,246,273,326,334,445,449,420,438,398,373,400,358,306,363,374,320,195,161,177,210
S16,SB,Heavy B,228,1,1,1,1,1,19,15,16,18,25,17,16,17,8,7,18,14,5,13,12,3,0,0,0
S16,NB,Lights,75546,780,545,448,571,575,1475,2968,3373,3412,3450,3835,3954,4408,4880,5177,6133,6198,6006,4579,3898,2938,2422,1966,1555
S16,NB,Medium A,2482,35,28,20,35,51,82,105,161,165,221,187,167,159,181,159,142,180,124,92,60,32,38,31,27
S16,NB,Medium B,708,0,0,0,0,0,12,51,49,45,56,52,70,55,73,66,57,58,28,24,10,2,0,0,0
S16,NB,Heavy A,7484,234,202,226,213,238,257,328,379,441,426,467,475,424,413,374,325,301,272,246,269,309,255,245,165
S16,NB,Heavy B,236,0,0,0,10,1,18,14,18,15,17,22,16,12,1,21,21,14,14,5,13,4,0,0,0
S17,SB,Lights,30054,200,160,148,166,345,1077,2002,2513,1869,1360,1171,1187,1280,1639,1679,2271,2765,2705,1771,1104,816,882,581,362
S17,SB,Medium A,1278,7,9,7,14,20,28,79,139,115,103,79,67,71,81,74,84,92,70,60,38,17,13,6,6
S17,SB,Medium B,680,1,1,1,0,0,25,60,80,69,73,59,43,48,54,49,54,39,17,6,1,1,0,0,0
S17,SB,Heavy A,2689,58,68,66,87,73,87,140,200,206,179,142,151,134,155,134,142,156,145,92,58,47,60,51,57
S17,SB,Heavy B,56,0,0,0,0,0,4,5,9,2,2,2,1,1,3,3,5,7,6,4,2,0,1,0,0
S17,NB,Lights,31014,180,133,140,161,394,1351,2441,2682,1915,1472,1375,1321,1379,1381,1909,2363,2783,2720,1547,959,775,643,605,387
S17,NB,Medium A,1336,6,7,6,14,23,35,97,148,118,111,93,75,77,68,84,88,92,70,52,33,16,9,7,6
S17,NB,Medium B,730,1,1,1,0,0,31,73,86,70,79,69,48,51,46,55,56,39,17,6,1,1,0,0,0
S17,NB,Heavy A,2784,52,57,62,84,84,110,171,214,211,194,166,168,144,130,153,148,157,146,81,51,45,44,54,61
S17,NB,Heavy B,59,0,0,0,0,0,5,6,9,2,3,2,1,1,2,3,5,7,6,4,2,0,0,0,0
